FIRM,class,Start,End,Length,Night,Gap,WS,idx,Base,StartAdj,LenAdj,Comp,Trans,Press,p1s,p1l,p2s,p2l,MalAdj,NFZ,AFZ,MFZ
-10,0,290,610,320,0,999,0,6,5.00,-3.25,-4.00,0.00,-4.00,-4.67,0,0,0,0,0,0,0,0
-10,0,905,1265,360,0,295,0,6,5.00,-3.25,-4.00,0.00,-4.00,-4.67,-10,320,0,0,0,0,0,0
5,0,1040,1505,465,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,-10,360,-10,320,0,0,0,0
4,0,920,1295,375,0,855,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,465,-10,360,0,0,0,0
1,0,1280,1775,495,1,999,1,1,2.00,0.00,0.00,0.00,-1.00,0.00,4,375,5,465,0,0,0,0
2,0,995,1460,465,0,660,0,2,5.00,0.00,0.00,0.00,-2.00,-0.67,1,495,4,375,0,0,0,0
5,0,755,1310,555,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,2,465,1,495,0,0,0,0
4,0,680,1225,545,0,810,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,555,2,465,0,0,0,0
-2,0,1310,1880,570,1,999,0,3,2.00,0.00,0.00,0.00,-2.00,-1.67,4,545,5,555,0,0,0,0
-3,0,20,740,720,1,999,0,4,2.00,0.00,0.00,0.00,-2.00,-2.67,-2,570,4,545,0,0,0,0
-4,1,1130,1865,735,1,999,0,5,2.00,0.00,-0.25,0.00,-2.00,-4.17,-3,720,-2,570,0,0,0,0
-6,0,1160,1830,670,1,735,0,6,2.00,0.00,0.00,0.00,-2.00,-5.67,-4,735,-3,720,0,0,0,0
4,0,830,1505,675,0,999,1,1,5.00,0.00,0.00,0.00,-1.00,0.00,0,0,0,0,0,0,0,0
3,0,670,1265,595,0,605,0,2,5.00,0.00,0.00,-0.75,-1.00,-0.67,4,675,0,0,0,0,0,0
0,0,260,1025,765,0,999,1,1,5.00,-4.75,-0.38,0.00,0.00,0.00,3,595,4,675,0,0,0,0
-2,0,200,930,730,0,615,0,2,5.00,-5.75,-0.12,-0.75,0.00,-0.67,0,765,3,595,0,0,0,0
-2,0,980,1610,630,1,999,0,3,2.00,0.00,0.00,0.00,-2.00,-1.67,-2,730,0,765,0,0,0,0
0,0,995,1445,450,0,825,0,4,5.00,0.00,0.00,0.00,-3.00,-2.33,-2,630,-2,730,0,0,0,0
5,0,545,975,430,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,0,450,-2,630,0,0,0,0
2,0,330,1049,719,0,999,1,1,5.00,-3.50,0.00,0.00,0.00,0.00,5,430,0,450,0,0,0,0
-4,0,130,860,730,1,521,0,2,2.00,0.00,0.00,-3.25,-2.00,-1.00,2,719,5,430,0,0,0,0
-2,0,1285,1765,480,1,999,0,3,2.00,0.00,0.00,0.00,-2.00,-2.00,-4,730,2,719,0,0,0,0
-3,0,1190,1635,445,1,865,0,4,2.00,0.00,0.00,0.00,-2.00,-3.00,-2,480,-4,730,0,0,0,0
-2,0,590,1240,650,0,999,0,5,5.00,0.00,0.00,0.00,-3.00,-4.00,-3,445,-2,480,0,0,0,0
-3,0,631,1205,574,0,831,0,6,5.00,0.00,0.00,0.00,-3.00,-5.00,-2,650,-3,445,0,0,0,0
-10,0,1310,1880,570,1,999,0,7,2.00,0.00,0.00,0.00,-5.00,-6.50,-3,574,-2,650,0,0,0,0
-10,0,20,740,720,1,999,0,8,2.00,0.00,0.00,0.00,-5.00,-8.50,-10,570,-3,574,0,0,0,0
-10,1,1130,1865,735,1,999,0,9,2.00,0.00,-0.25,0.00,-5.00,-10.50,-10,720,-10,570,0,0,0,0
-10,0,1160,1830,670,1,735,0,10,2.00,0.00,0.00,0.00,-5.00,-12.50,-10,735,-10,720,0,0,0,0
-10,0,100,715,615,1,999,0,5,2.00,0.00,0.00,-2.25,-6.00,-3.33,0,0,0,0,0,0,0,0
-9,0,295,695,400,0,999,0,6,5.00,-3.00,0.00,0.00,-7.00,-4.00,-10,615,0,0,0,0,0,0
-10,0,1180,1560,380,0,485,0,7,5.00,0.00,0.00,-2.75,-7.00,-5.00,-9,400,-10,615,0,0,0,0
-10,0,1195,1585,390,1,999,0,8,2.00,0.00,0.00,0.00,-9.00,-6.50,-10,380,-9,400,0,0,0,0
2,0,940,1255,315,0,999,1,1,5.00,0.00,0.00,0.00,-3.00,0.00,-10,390,-10,380,0,0,0,0
1,0,701,1105,404,0,886,0,2,5.00,0.00,0.00,0.00,-3.00,-0.67,2,315,-10,390,0,0,0,0
-4,0,220,595,375,0,999,0,3,5.00,-4.25,0.00,0.00,-3.00,-1.33,1,404,2,315,0,0,0,0
-3,0,1075,1455,380,0,480,0,4,5.00,0.00,0.00,-3.00,-3.00,-2.00,-4,375,1,404,0,0,0,0
-1,0,1150,1560,410,0,999,0,5,5.00,0.00,0.00,0.00,-3.00,-2.67,-3,380,-4,375,0,0,0,0
-4,0,610,1065,455,0,490,0,6,5.00,0.00,0.00,-2.75,-3.00,-3.33,-1,410,-3,380,0,0,0,0
5,0,640,1020,380,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,-4,455,-1,410,0,0,0,0
4,0,745,1180,435,0,999,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,380,-4,455,0,0,0,0
5,0,920,1250,330,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,4,435,5,380,0,0,0,0
4,0,850,1330,480,0,999,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,330,4,435,0,0,0,0
4,0,925,1330,405,0,999,0,3,5.00,0.00,0.00,0.00,0.00,-1.33,4,480,5,330,0,0,0,0
3,0,685,1135,450,0,795,0,4,5.00,0.00,0.00,0.00,0.00,-2.00,4,405,4,480,0,0,0,0
2,0,770,1110,340,0,999,0,5,5.00,0.00,0.00,0.00,0.00,-2.67,3,450,4,405,0,0,0,0
2,0,660,1090,430,0,990,0,6,5.00,0.00,0.00,0.00,0.00,-3.33,2,340,3,450,0,0,0,0
-5,0,1280,1690,410,1,999,0,7,2.00,0.00,0.00,0.00,-2.00,-4.83,2,430,2,340,0,0,0,0
-10,2,1135,2005,870,1,885,0,8,2.00,0.00,-3.00,0.00,-2.00,-6.83,-5,410,2,430,0,0,0,0
-9,0,1405,1990,585,1,840,0,9,2.00,0.00,0.00,0.00,-2.00,-8.83,-10,870,-5,410,0,0,0,0
-5,0,1275,1690,415,1,999,0,3,2.00,0.00,0.00,-2.50,-2.00,-2.00,0,0,0,0,0,0,0,0
-1,0,1045,1405,360,0,795,0,4,5.00,0.00,0.00,0.00,-3.00,-2.67,-5,415,0,0,0,0,0,0
-1,0,882,1155,273,0,917,0,5,5.00,0.00,0.00,0.00,-3.00,-3.33,-1,360,-5,415,0,0,0,0
-3,0,415,1060,645,0,700,0,6,5.00,-1.00,0.00,0.00,-3.00,-4.33,-1,273,-1,360,0,0,0,0
5,0,730,1315,585,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,-3,645,-1,273,0,0,0,0
-1,0,1060,1720,660,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,5,585,-3,645,0,0,0,0
2,0,1425,1930,505,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-1,660,5,585,0,0,0,0
1,0,1291,1570,279,1,801,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,505,-1,660,0,0,0,0
2,0,1045,1630,585,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,1,279,2,505,0,0,0,0
3,0,940,1465,525,0,750,0,2,5.00,0.00,0.00,0.00,-1.00,-0.67,2,585,1,279,0,0,0,0
1,0,270,730,460,0,999,1,1,5.00,-4.50,0.00,0.00,0.00,0.00,3,525,2,585,0,0,0,0
3,0,380,800,420,0,999,0,2,5.00,-1.75,0.00,0.00,0.00,-0.67,1,460,3,525,0,0,0,0
4,0,435,790,355,0,999,1,1,5.00,-0.75,0.00,0.00,0.00,0.00,3,420,1,460,0,0,0,0
-3,0,1390,1735,345,1,600,0,2,2.00,0.00,0.00,-2.00,-2.00,-1.00,4,355,3,420,0,0,0,0
-2,0,1421,1930,509,1,999,0,3,2.00,0.00,0.00,0.00,-2.00,-2.00,-3,345,4,355,0,0,0,0
-3,0,1345,1810,465,1,855,0,4,2.00,0.00,0.00,0.00,-2.00,-3.00,-2,509,-3,345,0,0,0,0
-4,0,1280,1690,410,1,910,0,5,2.00,0.00,0.00,0.00,-2.00,-4.00,-3,465,-2,509,0,0,0,0
-9,2,1135,2020,885,1,885,0,6,2.00,0.00,-3.50,0.00,-2.00,-5.50,-4,410,-3,465,0,0,0,0
1,0,1065,1515,450,0,999,0,6,5.00,0.00,0.00,0.00,0.00,-3.67,0,0,0,0,0,0,0,0
5,0,915,1395,480,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,1,450,0,0,0,0,0,0
4,0,625,975,350,0,670,0,2,5.00,0.00,0.00,0.00,0.00,-0.67,5,480,1,450,0,0,0,0
4,0,665,1335,670,0,999,0,3,5.00,0.00,0.00,0.00,0.00,-1.33,4,350,5,480,0,0,0,0
-10,1,870,2070,1200,1,975,0,4,2.00,0.00,-8.00,0.00,-2.00,-2.33,4,670,4,350,0,0,0,0
5,0,595,980,385,0,999,1,1,5.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
-1,0,1075,1575,500,1,999,0,2,2.00,0.00,0.00,0.00,-2.00,-1.00,5,385,0,0,0,0,0,0
2,0,75,660,585,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-1,500,5,385,0,0,0,0
1,0,5,630,625,1,785,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,2,585,-1,500,0,0,0,0
1,0,905,1695,790,1,999,1,1,2.00,0.00,-1.25,0.00,0.00,0.00,1,625,2,585,0,0,0,0
1,0,1005,1620,615,1,750,0,2,2.00,0.00,0.00,0.00,0.00,-1.00,1,790,1,625,0,0,0,0
2,0,655,1255,600,0,999,0,3,5.00,0.00,0.00,0.00,-1.00,-1.67,1,615,1,790,0,0,0,0
-4,0,1265,1695,430,1,999,0,4,2.00,0.00,0.00,0.00,-3.00,-2.67,2,600,1,615,0,0,0,0
2,0,0,480,480,1,999,1,1,2.00,0.00,0.00,0.00,0.00,0.00,-4,430,2,600,0,0,0,0
