Title,Year,Actor,Actual Box Office,Adjusted Box Office,Actual Budget,Adjusted Budget
Dr. No,1962,Sean Connery,59.5,448.8,1.1,7
From Russia With Love,1963,Sean Connery,78.9,543.8,2,12.6
Goldfinger,1964,Sean Connery,124.9,820.4,3,18.6
Thunderball,1965,Sean Connery,141.2,848.1,6.8,41.9
You Only Live Twice,1967,Sean Connery,111.6,514.2,10.3,59.9
On Her Majesty's Secret Service,1969,George Lazenby,64.6,291.5,7,37.3
Diamonds Are Forever,1971,Sean Connery,116,442.5,7.2,34.7
Live and Let Die,1973,Roger Moore,126.4,460.3,7,30.8
The Man with the Golden Gun,1974,Roger Moore,97.6,334,7,27.7
The Spy Who Loved Me,1977,Roger Moore,185.4,533,14,45.1
Moonraker,1979,Roger Moore,210.3,535,34,91.5
For Your Eyes Only,1981,Roger Moore,194.9,449.4,28,60.2
Octopussy,1983,Roger Moore,183.7,373.8,27.5,53.9
A View to a Kill,1985,Roger Moore,152.4,275.2,30,54.5
The Living Daylights,1987,Timothy Dalton,191.2,313.5,40,68.8
Licence to Kill,1989,Timothy Dalton,156.2,250.9,36,56.7
GoldenEye,1995,Pierce Brosnan,352,518.5,60,76.9
Tomorrow Never Dies,1997,Pierce Brosnan,333,463.2,110,133.9
The World is Not Enough,1999,Pierce Brosnan,361.8,439.5,135,158.3
Die Another Day,2002,Pierce Brosnan,432,465.4,142,154.2
Casino Royale,2006,Daniel Craig,606,589.4,150,145.3
Quantum of Solace,2008,Daniel Craig,586.1,514.2,200,181.4
Skyfall,2012,Daniel Craig,1108.6,943.5,150,128
Spectre,2015,Daniel Craig,880.7,725.5,245,202
No Time to Die,2021,Daniel Craig,771.2,582,250,189
